Date : 2026-03-12 06:43:37
Directory : g:\sl_refactor
Total : 186 files,  20577 codes, 504 comments, 1466 blanks, all 22547 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         15 |     12,161 |          0 |         16 |     12,177 |
| JavaScript JSX     |        116 |      6,286 |        132 |        932 |      7,350 |
| JavaScript         |         50 |      1,953 |        361 |        476 |      2,790 |
| PostCSS            |          1 |        132 |          5 |         26 |        163 |
| TypeScript         |          1 |         28 |          6 |          6 |         40 |
| JSON with Comments |          2 |         10 |          0 |          2 |         12 |
| Markdown           |          1 |          7 |          0 |          8 |         15 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |        186 |     20,577 |        504 |      1,466 |     22,547 |
| . (Files)                                                                        |         11 |     10,538 |          6 |         23 |     10,567 |
| app                                                                              |         47 |      1,401 |         76 |        386 |      1,863 |
| app (Files)                                                                      |          1 |        132 |          5 |         26 |        163 |
| app\[locale]                                                                     |         29 |        384 |          9 |        121 |        514 |
| app\[locale] (Files)                                                             |          3 |         83 |          4 |         16 |        103 |
| app\[locale]\leesditeerst                                                        |          1 |          7 |          0 |          3 |         10 |
| app\[locale]\login                                                               |          1 |          8 |          0 |          2 |         10 |
| app\[locale]\menu                                                                |         18 |        215 |          3 |         70 |        288 |
| app\[locale]\menu\beeld                                                          |          1 |          9 |          0 |          4 |         13 |
| app\[locale]\menu\buurt                                                          |          2 |         19 |          0 |          4 |         23 |
| app\[locale]\menu\buurt (Files)                                                  |          1 |         10 |          0 |          1 |         11 |
| app\[locale]\menu\buurt\buurtteam                                                |          1 |          9 |          0 |          3 |         12 |
| app\[locale]\menu\contact                                                        |          1 |         20 |          0 |          6 |         26 |
| app\[locale]\menu\demografie                                                     |          1 |         10 |          0 |          4 |         14 |
| app\[locale]\menu\historie                                                       |          1 |          9 |          0 |          4 |         13 |
| app\[locale]\menu\kunst                                                          |          1 |         12 |          0 |          3 |         15 |
| app\[locale]\menu\nieuws                                                         |          1 |          8 |          0 |          4 |         12 |
| app\[locale]\menu\praktisch                                                      |          8 |        112 |          0 |         34 |        146 |
| app\[locale]\menu\praktisch (Files)                                              |          1 |         12 |          0 |          4 |         16 |
| app\[locale]\menu\praktisch\afvalcontainers                                      |          1 |         23 |          0 |          4 |         27 |
| app\[locale]\menu\praktisch\dienstverlening                                      |          1 |         10 |          0 |          3 |         13 |
