"filename", "language", "JSON with Comments", "JavaScript", "JSON", "JavaScript JSX", "PostCSS", "TypeScript", "Markdown", "comment", "blank", "total"
"g:\sl_refactor\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"g:\sl_refactor\.prettierrc", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"g:\sl_refactor\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 7, 0, 8, 15
"g:\sl_refactor\app\[locale]\layout.jsx", "JavaScript JSX", 0, 0, 0, 40, 0, 0, 0, 4, 8, 52
"g:\sl_refactor\app\[locale]\leesditeerst\page.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"g:\sl_refactor\app\[locale]\login\page.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"g:\sl_refactor\app\[locale]\menu\beeld\page.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"g:\sl_refactor\app\[locale]\menu\buurt\buurtteam\page.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"g:\sl_refactor\app\[locale]\menu\buurt\layout.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"g:\sl_refactor\app\[locale]\menu\contact\page.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"g:\sl_refactor\app\[locale]\menu\demografie\page.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"g:\sl_refactor\app\[locale]\menu\historie\page.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"g:\sl_refactor\app\[locale]\menu\kunst\page.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"g:\sl_refactor\app\[locale]\menu\nieuws\page.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"g:\sl_refactor\app\[locale]\menu\praktisch\afvalcontainers\page.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"g:\sl_refactor\app\[locale]\menu\praktisch\dienstverlening\page.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"g:\sl_refactor\app\[locale]\menu\praktisch\grofvuil\page.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"g:\sl_refactor\app\[locale]\menu\praktisch\horeca\page.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 5, 23
"g:\sl_refactor\app\[locale]\menu\praktisch\layout.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"g:\sl_refactor\app\[locale]\menu\praktisch\ov\page.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"g:\sl_refactor\app\[locale]\menu\praktisch\winkels\page.jsx", "JavaScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"g:\sl_refactor\app\[locale]\menu\praktisch\zorg\page.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 8, 25
"g:\sl_refactor\app\[locale]\menu\staatslieden\page.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 0, 3, 4, 15
"g:\sl_refactor\app\[locale]\menu\westergas\page.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"g:\sl_refactor\app\[locale]\not-found.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"g:\sl_refactor\app\[locale]\page.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"g:\sl_refactor\app\[locale]\postsByUserId\[postId]\layout.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"g:\sl_refactor\app\[locale]\postsByUserId\[postId]\page.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 1, 9, 37
"g:\sl_refactor\app\[locale]\profile\page.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"g:\sl_refactor\app\[locale]\register\page.jsx", "JavaScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"g:\sl_refactor\app\[locale]\sharedpost\[postId]\page.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 1, 10, 27
"g:\sl_refactor\app\[locale]\weatherreport\page.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"g:\sl_refactor\app\api\auth\[...nextauth]\route.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 5, 12
"g:\sl_refactor\app\api\auth\login\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\sl_refactor\app\api\comments\[commentId]\like\route.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 9, 19, 90
"g:\sl_refactor\app\api\comments\route.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 2, 17, 90
"g:\sl_refactor\app\api\deleteAllNotifications\route.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"g:\sl_refactor\app\api\deleteComment\[commentId]\route.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 5, 14, 79
"g:\sl_refactor\app\api\deleteImage\[postId]\route.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 11, 42
